amfi_code,scheme_name,category,return_3yr_pct,sharpe_ratio,alpha_annualized_pct,expense_ratio_pct,max_drawdown_pct,morningstar_rating,composite_score
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,5.838988442093762,-0.22657538662791604,5.620895216638369,0.77,-4.328728923970093,5,33.75
101208,ABSL Liquid Fund - Regular - Growth,Debt,6.314299292105274,-0.8155673679088274,6.086145795787115,0.79,-0.16224980244717857,5,32.88
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,3.9154793546847033,-0.5670947928476846,4.281792031506088,0.56,-4.308263824636349,3,31.88
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,7.75416750547262,0.07599984804658917,7.80443887615508,1.56,-24.003511326274886,4,27.62
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-1.337083602283895,-0.05718662582817994,4.882421594553985,0.72,-52.57422117012851,4,23.94
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.5257668501786883,0.030784850954585892,6.899529821677549,1.64,-14.401617909337261,4,22.56
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-4.151453816140693,0.16266076928646767,10.897091901704538,1.53,-35.44691649336603,5,22.06
119095,Axis Small Cap Fund - Regular - Growth,Equity,-11.703299329834216,-0.07597357117478919,4.801595363775955,1.38,-51.677753708526566,4,17.25
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1.2923525892154508,-0.20151706755966947,3.747580763443281,1.55,-24.734440880673304,5,14.38
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.7672319440258146,-0.20583160785470325,2.8969397866379443,1.51,-28.00112356639287,5,14.31
